holding_pressure;holding_pressure_time;melt_temp;mold_temp;cooling_time;volume_flow;max_deformation;lego
173;4.9;226;26;29.7;199.628;0.8564421535000001;4x2_Lego
527;4.9;226;26;29.7;100.62799999999999;0.5799554586;4x2_Lego
527;4.9;226;26;29.7;199.628;0.5972766876;4x2_Lego
173;4.9;254;26;29.7;100.62799999999999;1.021149039;4x2_Lego
173;4.9;254;26;29.7;199.628;1.05146718;4x2_Lego
527;4.9;254;26;29.7;100.62799999999999;0.7443524003;4x2_Lego
527;4.9;254;26;29.7;199.628;0.7781789303000001;4x2_Lego
173;4.9;226;54;29.7;100.62799999999999;1.10165596;4x2_Lego
173;4.9;226;54;29.7;199.628;1.133182049;4x2_Lego
527;4.9;226;54;29.7;100.62799999999999;0.7943519950000001;4x2_Lego
527;4.9;226;54;29.7;199.628;0.8165325522;4x2_Lego
173;4.9;254;54;29.7;100.62799999999999;1.333217382;4x2_Lego
173;4.9;254;54;29.7;199.628;1.3761445280000002;4x2_Lego
527;4.9;254;54;29.7;100.62799999999999;1.004391313;4x2_Lego
527;4.9;254;54;29.7;199.628;1.034224153;4x2_Lego
173;14.1;226;26;29.7;100.62799999999999;0.7521951199;4x2_Lego
173;14.1;226;26;29.7;199.628;0.7537574768;4x2_Lego
527;14.1;226;26;29.7;100.62799999999999;0.49926909799999997;4x2_Lego
527;14.1;226;26;29.7;199.628;0.4999852777;4x2_Lego
173;14.1;254;26;29.7;100.62799999999999;0.7524079084;4x2_Lego
173;14.1;254;26;29.7;199.628;0.753834188;4x2_Lego
527;14.1;254;26;29.7;100.62799999999999;0.495531857;4x2_Lego
527;14.1;254;26;29.7;199.628;0.49720576409999995;4x2_Lego
173;14.1;226;54;29.7;100.62799999999999;0.9610986114;4x2_Lego
173;14.1;226;54;29.7;199.628;0.9611986876;4x2_Lego
527;14.1;226;54;29.7;100.62799999999999;0.7091087103;4x2_Lego
527;14.1;226;54;29.7;199.628;0.7104349731999999;4x2_Lego
173;14.1;254;54;29.7;100.62799999999999;0.9610548615;4x2_Lego
173;14.1;254;54;29.7;199.628;0.9618273377;4x2_Lego
527;14.1;254;54;29.7;100.62799999999999;0.7029868960000001;4x2_Lego
527;14.1;254;54;29.7;199.628;0.7045036554;4x2_Lego
350;9.5;240;40;24.0;150.128;0.7408694029;4x2_Lego
173;4.9;226;26;18.3;100.5469;0.629345417;3x1_Lego
173;4.9;226;26;18.3;199.5469;0.638653636;3x1_Lego
527;4.9;226;26;18.3;100.5469;0.5243239999;3x1_Lego
527;4.9;226;26;18.3;199.5469;0.523858726;3x1_Lego
173;4.9;254;26;18.3;100.5469;0.7864766121000001;3x1_Lego
173;4.9;254;26;18.3;199.5469;0.8046954274;3x1_Lego
